travel|путешествовать
persuasion|убеждение
pessimist|пессимист
pessimistic|пессимистичный
petrified|окаменевший
petty|мелкий
pharmacist|фармацевт
phase|фаза
philosophical|философский
physician|врач
pi|пи
pickle|маринад
picky|привередливый
picturesque|живописный
pillowcase|наволочка
pine|сосна
pint|пинта
piracy|пиратство
pirate|пират
pitch|высота звука
plague|чума
planning|планирование
playmate|товарищ по играм
playwright|драматург
plead|умолять
plot|сюжет
pluck|щипать
plum|слива
plumber|сантехник
plus|плюс
pneumonia|пневмония
pointless|бессмысленный
polio|полиомиелит
polish|блеск
politeness|вежливость
politically|политически
polity|государство
polo|поло
ponder|обдумывать
popularity|популярность
popularize|популяризировать
porch|крыльцо
portion|порция
pose|поза
posh|шикарный
possessed|одержимый
postal|почтовый
postpone|откладывать
potent|мощный
potentially|потенциально
powerfully|мощно
practicality|практичность
practically|практически
prance|гарцевание
prawn|креветка
precede|предшествовать
precisely|точно
predicament|затруднительное положение
predicate|основывать
predicative|предикативный
predictable|предсказуемый
predictive|прогностический
predictor|предиктор
prefect|префект
preferable|предпочтительный
preferably|предпочтительно
prehistoric|доисторический
prehuman|предок человека
preindustrial|доиндустриальный
prejudge|предрешать
preliminary|предварительный
preoccupy|поглощать
prescribe|предписывать
presenter|ведущий
presidency|президентство
presidential|президентский
prestige|престиж
prestigious|престижный
presumably|по всей видимости
prevail|преобладать
prevention|предотвращение
preventive|профилактический
previously|ранее
priceless|бесценный
prick|укол
primary|первичный
prime|главный
prior|предшествующий
privately|частным образом
privilege|привилегия
probable|вероятный
probe|зонд
procedure|процедура
profile|профиль
profit|прибыль
profitable|прибыльный
programmer|программист
programming|программирование
prohibit|запрещать
projection|проекция
prom|выпускной бал
prominence|известность
prompt|быстрый
promptly|незамедлительно
proponent|сторонник
proposed|предложенный
prose|проза
prosecute|преследовать
prospect|перспектива
prosper|процветать
proudly|гордо
proven|доказанный
province|провинция
provision|положение
proximity|близость
psychologically|психологически
psychology|психология
publication|публикация
publicity|огласка
publicize|рекламировать
pudding|пудинг
pulse|пульс
pumpkin|тыква
punch|удар
punctual|пунктуальный
punctuality|пунктуальность
purchase|покупка
purposeful|целеустремлённый
pursuit|преследование
puzzled|озадаченный
qualification|квалификация
quantify|измерять
quarantine|карантин
quarrel|ссора
quarrelsome|сварливый
queer|странный
query|запрос
quotable|цитируемый
quotation|цитата
quote|цитата
racism|расизм
racist|расист
rack|стойка
radar|радар
radiate|излучать
radical|радикал
radically|радикально
radium|радий
rafter|стропило
rag|тряпка
rainbow|радуга
rainstorm|ливень
rally|митинг
ram|баран
ramp|пандус
ranger|рейнджер
rash|опрометчивый
rattle|погремушка
ravage|опустошение
reaction|реакция
readily|охотно
realization|осознание
rear|задний
reasonably|разумно
rebel|бунтарь
rebellious|бунтарский
recession|рецессия
recipe|рецепт
reckon|считать
recognition|признание
recollect|вспоминать
recollection|воспоминание
recommendable|рекомендуемый
recommendation|рекомендация
reconsider|пересматривать
recreation|отдых
recruit|вербовать
rectangular|прямоугольный
redo|переделывать
reed|тростник
reference|ссылка
referent|референтный
refinery|нефтеперерабатывающий завод
reflective|задумчивый
reform|реформа
refrain|припев
refresh|освежение
refuge|убежище
refugee|беженец
regardless|несмотря ни на что
reggae|регги
regime|режим
regrettably|к сожалению
regulate|регулировать
rehearsal|репетиция
reinforce|укреплять
reinforcement|подкрепление
rejection|отказ
rejoin|воссоединяться
related|связанный
relativity|относительность
relaxation|расслабление
relay|эстафета
relic|реликвия
relief|облегчение
relieve|облегчать
relieved|облегчённый
remaining|оставшийся
remains|останки
remarkably|замечательно
reminder|напоминание
rental|аренда
reorganize|реорганизовывать
repaint|перекраска
repertoire|репертуар
repetition|повторение
replacement|замена
replica|копия
repress|подавлять
repression|репрессия
reprint|перепечатка
reprove|упрекать
residence|резиденция
resign|уходить в отставку
resignation|отставка
resistance|сопротивление
resolution|решение
resonant|резонирующий
respectably|достойно
respected|уважаемый
respiration|дыхание
respiratory|дыхательный
restriction|ограничение
resume|возобновлять
retailer|розничный торговец
retard|замедлять
retina|сетчатка
retirement|выход на пенсию
retreat|отступление
retrieve|извлекать
revelation|откровение
revenge|месть
revenue|доход
reverence|почтение
reverse|переворачивать
revival|возрождение
revive|возрождать
revolution|революция
revolutionary|революционный
revolutionize|революционизировать
revolve|вращаться
rhinoceros|носорог
rhyme|рифмоваться
rhythmic|ритмичный
rib|ребро
rider|всадник
ridge|хребет
righteousness|праведность
rightly|справедливо
rim|край
rip|разрывать
risky|рискованный
rite|обряд
ritual|ритуал
rival|соперник
roam|скитание
roar|реветь
rocket|ракета
rocky|скалистый
roommate|сосед по комнате
rosy|розовый
route|маршрут
royalty|королевская семья
rub|тереть
rubble|обломки
rug|ковёр
ruinous|губительный
rural|сельский
rusty|ржавый
sack|увольнять
sag|провисание
sage|мудрец
sail|плыть
salary|зарплата
salesmanship|искусство продаж
salesperson|продавец
saleswoman|продавщица
salon|салон
salsa|сальса
salty|солёный
sandstone|песчаник
sanitary|санитарный
sanitation|санитария
satisfactory|удовлетворительный
saving|сбережение
scandal|скандал
scar|шрам
scarcely|едва
scarlet|алый цвет
scent|запах
scheduled|запланированный
scheme|схема
scholasticism|схоластика
schoolgirl|школьница
scientifically|научно
scooter|самокат
scramble|карабкаться
scribble|каракули
scrooge|скряга
scuba|акваланг
scythe|коса
seal|тюлень
seasonal|сезонный
secondary|второстепенный
secondly|во-вторых
sector|сектор
seesaw|качели-качалка
segment|сегмент
seldom|редко
self-confidence|уверенность в себе
self-confident|уверенный в себе
selfless|бескорыстный
seller|продавец
semi-final|полуфинал
semicolon|точка с запятой
seminar|семинар
senator|сенатор
sensible|разумный
sensitive|чувствительный
separately|отдельно
serene|безмятежный
serial|серийный
servant|слуга
setback|неудача
sexism|сексизм
sexy|сексуальный
shabby|потрёпанный
shaken|потрясённый
shakespearean|шекспировский
shaky|шаткий
sharply|резко
shatter|разбивать
shed|сарай
shield|щит
shipping|доставка
shipwreck|кораблекрушение
shooting|стрельба
shopkeeper|владелец магазина
shoplift|воровать в магазине
shoplifter|магазинный вор
shoplifting|кража в магазине
short-term|краткосрочный
shortness|краткость
showbiz|шоу-бизнес
showcase|витрина
shrink|психотерапевт
shrug|пожимать плечами
significantly|значительно
signify|означать
silverware|столовое серебро
simplification|упрощение
simultaneous|одновременный
since|с тех пор
sincere|искренний
sincerity|искренность
sister-in-law|невестка
skateboard|скейтборд
skateboarder|скейтбордист
sketch|набрасывать
skilled|опытный
skillful|умелый
skillfully|умело
skim|скользить
skip|пропускать
skylark|жаворонок
skyward|ввысь
slam|хлопать
slang|сленг
slap|пощёчина
slash|порез
slaughter|бойня
sliver|щепка
sloppy|небрежный
smash|разбивать
smokestack|дымовая труба
snap|щёлкать
sneak|красться
sneer|усмешка
sniff|нюхать
snore|храп
snowball|снежок
so-called|так называемый
soak|замачивание
soaked|промокший
soaking|промокший насквозь
soar|парить
sob|рыдать
sociable|общительный
socialize|общаться
softness|мягкость
solar|солнечный
solidity|прочность
soliloquy|монолог
solo|сольный
solvent|растворитель
somewhat|несколько
son-in-law|зять
sonnet|сонет
sophisticated|изощрённый
soundtrack|саундтрек
southward|на юг
soviet|совет
soybean|соя
spa|спа
span|охватывать
spare|запасной
sparerib|рёбрышко
spark|искра
sparkling|искристый
sparrow|воробей
specialty|специальность
species|вид
specifically|конкретно
specify|указывать
spectacle|зрелище
speeder|лихач
spellbound|заворожённый
spin|вращать
spite|злоба
splatter|брызги
spokesman|пресс-секретарь
spokeswoman|пресс-секретарь
spray|спрей
spreadsheet|таблица
sprint|спринт
spur|шпора
squad|отряд
squash|сквош
squeeze|сжимать
stab|колоть
stability|стабильность
stack|стопка
stagger|шатание
stain|пятно
stake|ставка
stammer|заикаться
standby|резервный
standstill|застой
stanza|строфа
startle|пугать
starvation|голод
starve|голодать
starving|голодный
statesman|государственный деятель
statewide|по всему штату
statistics|статистика
steely|стальной
steer|управлять
stepfather|отчим
stepmother|мачеха
stereotype|стереотип
stern|суровый
stew|рагу
stiff|жёсткий
stimulant|стимулятор
stimulate|стимулировать
stimulation|стимуляция
stingy|скупой
stink|вонять
stitch|стежок
stock|запас
stockpile|склад
stonework|каменная кладка
stool|табурет
stopover|остановка
stopwatch|секундомер
straighten|выпрямлять
straightforward|прямой
strait|пролив
strand|прядь
strangle|душить
strictly|строго
stride|шагать
striking|поразительный
strive|стремиться
stroke|удар
stubbornly|упрямо
stylist|стилист
subcontinent|субконтинент
subculture|субкультура
subdivision|подразделение
subjunctive|сослагательное наклонение
submit|подавать
subplot|побочная сюжетная линия
subside|утихать
substance|вещество
subtitle|субтитр
subtract|вычитать
suburb|пригород
successive|последовательный
suck|сосать
sue|подавать в суд
suffering|страдание
sufficiently|достаточно
suitably|подходящим образом
sulfur|сера
sunbeam|солнечный луч
superb|превосходный
superintendent|суперинтендант
supernatural|сверхъестественный
supervise|контролировать
supervision|надзор
supervisor|руководитель
supplement|дополнение
supplier|поставщик
suppress|подавлять
surge|всплеск
surrender|сдаваться
surroundings|окружение
surveillance|наблюдение
suspend|приостанавливать
suspicious|подозрительный
suspiciously|подозрительно
sustain|поддерживать
swan|лебедь
sweep|подметать
swift|быстрый
swing|качели
syllable|слог
symbolic|символический
sympathetic|сочувствующий
sympathize|сочувствовать
synonym|синоним
tablecloth|скатерть
tabloid|таблоидный
tack|прикреплять
tackle|справляться
tactile|тактильный
tag|ярлык
tail|хвост
tame|ручной
tan|загар
tanned|загорелый
tatter|лохмотья
tattoo|татуировка
taunt|насмешка
teaspoon|чайная ложка
technical|технический
technically|технически
telescope|телескоп
temperate|умеренный
temporarily|временно
temptation|искушение
tender|нежный
tenderly|нежно
tenderness|нежность
terrace|терраса
terrifying|ужасающий
territory|территория
testify|свидетельствовать
testimony|показание
that|настолько
theme|тема
theorist|теоретик
therapist|терапевт
therapy|терапия
thereafter|после этого
thermometer|термометр
thesis|тезис
thickly|густо
thickness|толщина
thigh|бедро
thinker|мыслитель
thirdly|в-третьих
thoroughly|тщательно
though|однако
thoughtful|задумчивый
thoughtless|бездумный
thread|нить
threaten|угрожать
thrill|волнение
thrilled|взволнованный
thrilling|захватывающий
throat|горло
tickle|щекотать
tightrope|канат
timeless|вечный
timeliness|своевременность
timing|выбор времени
tiptoe|красться на цыпочках
tiredness|усталость
tiresome|утомительный
toenail|ноготь на ноге
toil|трудиться
tolerant|терпимый
tolerate|терпеть
toll|пошлина
tomb|гробница
ton|тонна
torch|факел
tortoiseshell|черепаховый панцирь
torture|пытать
tough|жёсткий
toxic|токсичный
trader|торговец
trailer|прицеп
trainee|стажёр
trainer|тренер
trait|черта
traitor|предатель
tramp|бродяга
trample|топтание
transcript|стенограмма
transfusion|переливание крови
transient|мимолётный
transistor|транзистор
transition|переход
transitive|переходный
translation|перевод
translator|переводчик
transmission|передача
transmit|передавать
transparent|прозрачный
traverse|пересечение
tray|поднос
tread|ступать
treaty|договор
trek|поход
tremendously|чрезвычайно
tremor|дрожь
trial|испытание
triangle|треугольник
tribe|племя
tricky|хитрый
trio|трио
trivial|тривиальный
trolley|тележка
troop|отряд
trophy|трофей
tropic|тропический
troublesome|хлопотный
trunk|ствол
trusty|надёжный
truthful|правдивый
truthfulness|правдивость
tub|ванна
tuberculosis|туберкулёз
tug|буксир
tuition|обучение
tulip|тюльпан
tumor|опухоль
tunnel|тоннель
turbulent|бурный
tutor|репетитор
twinkle|мерцание
twisted|скрученный
typhoid|брюшной тиф
tyranny|тирания
tyrant|тиран
ultimately|в конечном счёте
unacceptable|неприемлемый
unashamedly|бесстыдно
unattractive|непривлекательный
unauthorized|несанкционированный
unavailable|недоступный
unaware|не осознающий
unbearable|невыносимый
unbeatable|непобедимый
unchanged|неизменный
uncharacteristic|нехарактерный
unclearly|нечётко
uncomfortably|неудобно
uncommon|необычный
unconcerned|безразличный
unconscious|без сознания
underestimate|недооценивать
undergraduate|студент
underground|подземный
underneath|снизу
undersea|подводный
understandable|понятный
understanding|понимающий
underwear|бельё
undoubtedly|несомненно
undreamed|невероятный
undressed|раздетый
unease|беспокойство
uneasily|беспокойно
unenthusiastic|равнодушный
uneven|неровный
unfamiliar|незнакомый
unfashionable|немодный
unforeseen|непредвиденный
ungodly|нечестивый
unhappiness|несчастье
unhelpful|бесполезный
unimaginable|невообразимый
unimaginably|невообразимо
united|объединённый
universal|универсальный
unjustly|несправедливо
unkind|недобрый
unlimited|неограниченный
unload|разгружать
unlock|открывать
unmistakable|безошибочный
unmistakably|безошибочно
unnatural|неестественный
unofficial|неофициальный
unpopular|непопулярный
unrealistic|нереалистичный
unreasonable|неразумный
unreliable|ненадёжный
unrest|волнения
unsafe|опасный
unsatisfactory|неудовлетворительный
unselfish|бескорыстный
unstoppable|неудержимый
unsuccessful|неудачный
unsuitable|неподходящий
unsure|неуверенный
untalented|неталантливый
unthinkably|немыслимо
untie|развязывать
untreated|необработанный
untrimmed|необрезанный
unusualness|необычность
unwilling|нежелающий
unwise|неразумный
unworldly|не от мира сего
upbringing|воспитание
upgrade|улучшение
upright|прямой
urban|городской
urgently|срочно
user|пользователь
usher|провожать
utility|полезность
utilize|использовать
utter|произносить
utterly|совершенно
vacant|пустой
vaccine|вакцина
valentine|валентинка
valid|действительный
vanish|исчезать
vanity|тщеславие
variation|вариация
varied|разнообразный
venture|предприятие
venue|место проведения
verbal|словесный
verbally|словесно
verse|стих
version|версия
veteran|ветеран
vibrate|вибрировать
vibration|вибрация
viewer|зритель
vigor|энергия
vigorous|энергичный
vigorously|энергично
villa|вилла
villager|житель деревни
vinegar|уксус
violate|нарушать
virtually|фактически
virtue|добродетель
visibly|заметно
vital|жизненно важный
vitamin|витамин
vocalist|вокалист
vomit|рвота
voter|избиратель
vow|обет
wage|зарплата
waist|талия
waistcoat|жилет
walkabout|прогулка
walker|пешеход
wallboard|гипсокартон
walnut|грецкий орех
warship|военный корабль
wartime|военное время
wasp|оса
waterproof|водонепроницаемый
weaken|ослаблять
weakly|слабо
wealthy|богатый
wearisome|утомительный
weary|усталый
weave|плетение
wed|жениться
weed|сорняк
welfare|благополучие
well-balanced|уравновешенный
well-built|хорошо сложённый
well-organized|хорошо организованный
well-paid|высокооплачиваемый
western|западный
wheat|пшеница
whip|хлестать
whiskey|виски
widen|расширять
widow|вдова
width|ширина
wilderness|пустошь
will|воля
willing|готовый
willingly|охотно
winding|извилистый
windshield|лобовое стекло
wink|подмигивание
wipe|вытирать
wit|остроумие
withdraw|отступать
withdrawal|отказ
witty|остроумный
wolf|волк
wondrous|чудесный
woodcarving|резьба по дереву
wordlessly|молча
workaholic|трудоголик
workbench|верстак
workman|рабочий
worktable|рабочий стол
worldly|мирской
worldview|мировоззрение
worm|червь
wornout|изношенный
worrying|тревожный
worsen|ухудшаться
worship|поклонение
worthless|бесполезный
wreck|крушение
wrongly|неправильно
x-ray|рентген
yacht|яхта
yawn|зевок
yearn|тосковать
yield|уступать
youthful|юный
yummy|вкусный
zebra|зебра
zip|молния
zoom|масштаб
